parroquia,nom_par
080553,CALDERÓN
130252,QUIROGA
030156,PINDILIG
160450,ARAJUNO
220160,SAN JOSÉ DE GUAYUSA
050252,PUCAYACU
140358,YUNGANZA
060752,ILAPO
110851,LARAMA
060354,SANTIAGO DE QUITO
040151,EL CARMELO
071153,SALATÍ
170254,OTÓN
180167,CUNCHIBAMBA
010156,LLACAO
030550,EL TAMBO
190950,PAQUISHA
180758,SALASACA
110753,NAMBACOLA
140651,ASUNCIÓN
040553,FERNÁNDEZ SALVADOR
060260,TIXÁN
150455,SARDINAS
140951,HUASAGA
030154,JAVIER LOYOLA
110351,EL TAMBO
020350,SAN JOSÉ DE CHIMBO
080153,CORONEL CARLOS CONCHA TORRES
131551,BACHILLERO
150155,PUERTO MISAHUALLÍ
030362,VENTURA
110651,BELLAVISTA
190353,NANKAIS
060352,COLUMBE
111452,12 DE DICIEMBRE
010561,TOMEBAMBA
080257,PAMPANAL DE BOLÍVAR
080555,5 DE JUNIO
100354,PEÑAHERRERA
170552,RUMIPAMBA
210452,PAÑACOCHA
050352,PINLLOPATA
100356,QUIROGA
160157,POMONA
111650,OLMEDO
131151,BARRAGANETE
100654,SAN BLAS
110158,SAN PEDRO DE VILCABAMBA
010250,GIRÓN
130852,SANTA MARIANITA
010852,EL CARMEN DE PIJILÍ
130552,ZAPALLO
130154,PUEBLO NUEVO
091451,VALLE DE LA VIRGEN
071352,ARCAPAMBA
030158,SAN MIGUEL
140356,SAN MIGUEL DE CONCHAY
131653,ARQUITECTO SIXTO DURÁN BALLÉN
110353,SAN PEDRO DE LA BENDITA
160155,FÁTIMA
180551,EL TRIUNFO
080261,TELEMBÍ
030451,MANUEL J. CALLE
040555,PIARTAL
130152,ALHAJUELA
010166,SIDCAY
140551,COPAL
220153,ALEJANDRO LABAKA
210454,SAN PEDRO DE LOS COFÁNES
140256,NUEVA TARQUI
160159,RÍO TIGRE
080557,MATAJE
180553,SUCRE
170154,CALACALÍ
170454,TUPIGACHI
200352,SANTA ROSA
220251,CAPITÁN AUGUSTO RIVADENEYRA
060756,SAN ISIDRO DE PATULÚ
111055,VICENTINO
050554,MULLIQUINDIL
020354,SAN SEBASTIÁN
170178,PUÉLLARO
131751,COJIMÍES
210160,10 DE AGOSTO
010952,JIMA
110251,COLAISACA
220151,DAYUMA
131051,CAMPOZANO
080752,CHUMUNDÉ
170176,PÍNTAG
180151,AMBATILLO
030160,TADAY
060951,EL ALTAR
140258,EL IDEAL
030351,CHONTAMARCA
010357,SAN JUAN
111250,SOZORANGA
230253,PLAN PILOTO
080559,SANTA RITA
030651,SOLANO
010168,TARQUI
030353,GENERAL MORALES
200250,PUERTO VILLAMIL
040155,PIOTER
060758,SANTA FÉ DE GALÁN
040157,TUFIÑO
010552,BULÁN
130452,SAN PEDRO DE SUMA
070353,MILAGRO
180853,MARCOS ESPINEL
160161,SARAYACU
050552,CUSUBAMBA
050154,JOSEGUANGO BAJO
131351,AYACUCHO
040453,JUAN MONTALVO
080352,DAULE
140451,ARAPICOS
110162,YANGANA
190852,SAN FRANCISCO DEL VERGEL
180851,BAQUERIZO MORENO
220351,ENOKANQUI
010854,SAN SALVADOR DE CAÑARIBAMBA
060551,CAPZOL
110655,EL INGENIO
100254,SAN ROQUE
141150,PABLO SEXTO
160165,VERACRUZ
050152,BELISARIO QUEVEDO
110653,SANTA TERESITA
140851,PAN DE AZÚCAR
140853,SAN JACINTO DE WAKAMBEIS
080350,MUISNE
210354,SANTA ELENA
190850,PALANDA
070355,SAN JUAN DE CERRO AZUL
080561,TULULBÍ
010152,CUMBE
110253,UTUANA
130156,SAN PLÁCIDO
071354,GUIZHAGUIÑA
030251,NAZÓN
220453,SAN JOSÉ DE PAYAMINO
140151,ALSHI
011151,PRINCIPAL
